n,P_approx_2_alter(2.3.n)
1804,0.279514
1805,0.271032
1806,0.259142
1807,0.273236
1808,0.277929
1809,0.273170
1810,0.265924
1811,0.271043
1812,0.271677
1813,0.276392
1814,0.265353
1815,0.274808
1816,0.263985
1817,0.254494
1818,0.273819
1819,0.268478
1820,0.254250
1821,0.262173
1822,0.271682
1823,0.277452
1824,0.264794
1825,0.262242
1826,0.263988
1827,0.268685
1828,0.270003
1829,0.271662
1830,0.260546
1831,0.278915
1832,0.283276
1833,0.261239
1834,0.273877
1835,0.265858
1836,0.276820
1837,0.251577
1838,0.279670
1839,0.269297
1840,0.264497
1841,0.251481
1842,0.272302
1843,0.264865
1844,0.260977
1845,0.269319
1846,0.263167
1847,0.250029
1848,0.280827
1849,0.267661
1850,0.275195
1851,0.255402
1852,0.263811
1853,0.273822
1854,0.262910
1855,0.261187
1856,0.266645
1857,0.275516
1858,0.277387
