n,P_approx_2(2.3.n)
1823,0.267691
1824,0.271382
1825,0.267397
1826,0.273823
1827,0.277504
1828,0.263676
1829,0.264625
1830,0.267213
1831,0.253413
1832,0.274563
1833,0.261866
1834,0.262268
1835,0.257221
1836,0.281046
1837,0.254219
1838,0.275299
1839,0.275150
1840,0.270652
1841,0.258555
1842,0.258415
1843,0.276180
1844,0.270065
1845,0.292141
1846,0.271398
1847,0.275041
1848,0.257576
1849,0.274743
1850,0.249189
1851,0.274986
1852,0.274838
1853,0.263357
1854,0.263754
1855,0.269542
1856,0.256466
1857,0.257943
1858,0.256189
1859,0.260355
1860,0.267742
